UniProt ID,Gene Symbol,Name,Process/Function,Ions,Gating,Channel Class,In BETSE?
Q96PB7,OLFM3,Noelin-3,NOT AN ION CHANNEL;,,,,
Q96PH1,NOX5,NADPH oxidase 5,H+ channel; ? gating; Calcium depending NADPH oxidase that also functions as a channel; Regulate cell growth and apoptosis; Certain isoforms important for proliferation and angiogenesis,H+,,,
Q96PR1,KCNC2,Potassium voltage-gated channel subfamily C member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv3.2,soon
Q96QG5,GRIK3,Glutamate receptor 7,Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,NMDA,doable
Q96QT4,TRPM7,Transient receptor potential cation channel subfamily M member 7,cation channel; ? gating; Divalent cation channel; Crucial for Mg2+ homeostasis and regulation of anoxic neuonal cell death,cation,Ligand. Temperature.,TRPM7,
Q96RD7,PANX1,Pannexin-1,Ca2+ channel; Leak channel; Regulate ER homeostasis,Ca2+,Gap junction / Leak channel,,
Q96RN1,SLC26A8,Testis anion transporter 1,carrier/antiporter,,carrier/antiporter,,
Q96RP8,KCNA7,Potassium voltage-gated channel subfamily A member 7,K+ channel; Voltage-gated;,K+,Voltage,Kv1.7,
Q96RY8,CLCN7,Chloride channel protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClvC7,
Q96S66,CLCC1,Chloride channel CLIC-like protein 1,Cl- channel;,Cl-,Ligand,,
Q96SF2,CCT8L2,T-complex protein 1 subunit theta-like 2,NOT AN ION CHANNEL; chaperone ,,,,
Q96SN7,ORAI2,Protein orai-2,Ca2+ channel; ?-gated; Ca2+ release activated Ca2+-like (CRAC-like) channel; Calcium stores,Ca2+,Ligand,,
Q96T54,KCNK17,Potassium channel subfamily K member 17,K+ channel; Voltage-gated;,K+,Voltage,TASK-4,
Q96T55,KCNK16,Potassium channel subfamily K member 16,K+ channel; Voltage-gated;,K+,Voltage,TALK-1,
Q99250,SCN2A,Sodium channel protein type 2 subunit alpha,"Na+ channel; Voltage-gated; Excitable membranes; Mutations associated with seizures, epilepsy, ",Na+,Voltage,Nav1.2,yes
Q99415,AAD14,AAD14 protein,?,,,,
Q99571,P2RX4,P2X purinoceptor 4,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q99572,P2RX7,P2X purinoceptor 7,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q99712,KCNJ15,ATP-sensitive inward rectifier potassium channel 15,K+ channel; Ligand-gated; Gated by ATP; ,K+,Voltage,Kir4.2,
Q99928,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q99989,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q99996,AKAP9,A-kinase anchor protein 9,NOT AN ION CHANNEL; anchors A-kinase to membrane,,,,
Q9BPX6,MICU1,"Calcium uptake protein 1, mitochondrial","Ca2+ channel; Acts as a gatekeeper of Ca2+ channel; Regulates glucose-dependent insulin secretion in pancreas, T-helper autoreactivity; Mutations associated with myopathy",,Uniporter,,
Q9BQ31,KCNS3,Potassium voltage-gated channel subfamily S member 3,K+ channel; Voltage-gated;,K+,Voltage,Kv9.3,
Q9BR39,JPH2,Junctophilin-2,"NOT AN ION CHANNEL; formation of junctional membrane complexes, essential for Ca2+ signaling",,,,
Q9BRN4,CLCN7,Chloride channel protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClvC7,
Q9BRQ5,ORAI3,Protein orai-3,Ca2+ channel; ?-gated; Ca2+ release activated Ca2+-like (CRAC-like) channel; Calcium stores,Ca2+,Ligand,,
Q9BSA4,TTYH2,Protein tweety homolog 2,Cl- channel (probable); ? gating; Ca2+ activated; Ca2+ signal transduction; Cell proliferation and aggregation,Cl-,Ligand,,
Q9BSA9,TMEM175,Endosomal/lysomomal potassium channel TMEM175,K+ channel; ? gating; Conductance in endosomes and lysosomes; lumenal pH stability,K+,,,
Q9BSM4,-,Chloride channel protein,Cl- channel; Voltage-gated;,Cl-,Voltage,,
Q9BV23,ABHD6,Monoacylglycerol lipase ABHD6,NOT AN ION CHANNEL; Enzyme,,,,
Q9BVC6,TMEM109,Transmembrane protein 109,Ca2+ and K+ channels; Voltage-gated; Mediate response to DNA damage by protecting agains UVC-induced cell death,Ca2+,Voltage,,
Q9BX84,TRPM6,Transient receptor potential cation channel subfamily M member 6,cation channel; ? gating; Crucial for Mg2+ homeostasis,cation,Ligand. Temperature.,TRPM6,
Q9BXC5,KCNJ10,Inwardly-rectifying potassium channel Kir1.2,K+ channel; Voltage-gated;,K+,Voltage,Kir4.1,
Q9BXS9,SLC26A6,Solute carrier family 26 member 6,carrier,,carrier,,
Q9BXT2,CACNG6,Voltage-dependent calcium channel gamma-6 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng6,
Q9BYT9,ANO3,Anoctamin-3,Scramblase activity. (?) No CACC activity,Cl-,Voltage,,
Q9BZ15,GRIK2,"BA487F5.1 (Glutamate receptor, ionotropic, kainate 2)",? channel; Ligand-gated; ,?,Ligand,NMDA,doable
Q9C007,SCN3A,Sodium channel protein,Na+ channel; Voltage-gated; Excitable membranes,Na+,Voltage,Nav1.3,yes
Q9C0H2,TTYH3,Protein tweety homolog 3,Cl- channel (probable); ? gating; Ca2+ activated; Ca2+ signal transduction;,Cl-,Ligand,,
Q9GZM4,SCN3A,SCN3A,Na+ channel; Voltage-gated; Generation and propogation of action potentials in neurons,Na+,Voltage,Nav1.3,yes
Q9GZQ4,NMUR2,Neuromedin-U receptor 2,NOT AN ION CHANNEL;,,,,
Q9GZR0,SCN8A,HNa6/Scn8a voltage-gated sodium channel,Na+ channel; Voltage-gated;,Na+,Voltage,Nav1.6,yes
Q9GZU1,MCOLN1,Mucolipin-1,Cation channel; ? gating; ,cation,Ligand,,
Q9GZZ6,CHRNA10,Neuronal acetylcholine receptor subunit alpha-10,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
Q9H0Q3,FXYD6,FXYD domain-containing ion transport regulator 6,Cl- channel; ? gating,Cl-,,,
Q9H1D0,TRPV6,Transient receptor potential cation channel subfamily V member 6,cation channel; ? gating; Ca2+ absorption in the intestine,cation,Ligand. Mechanical. Temperature.,TRPV6,
Q9H200,MLSN2,Melastatin 2,Cation channel; ? gating;,cation,Ligand,,
Q9H237,PORCN,Protein-serine O-palmitoleoyltransferase porcupine,NOT AN ION CHANNEL;,,,,
Q9H252,KCNH6,Potassium voltage-gated channel subfamily H member 6,K+ channel; Voltage-gated;,K+,Voltage,Kv11.2,
Q9H2B4,SLC26A1,Sulfate anion transporter 1,carrier/antiporter,,carrier/antiporter,,
Q9H2S1,KCNN2,Small conductance calcium-activated potassium channel protein 2,"K+ channel; Ligand-gated; Ca2+ activated; Membrane hyperpolerization, regulate neuronal excitability",K+,Ligand,SK2 (KCa2.2),
Q9H313,TTYH1,Protein tweety homolog 1,Cl- channel (probable); ? gating; May be involved in cell adhesion/cell volume,Cl-,Ligand,,
Q9H3L9,SCN4A,Type IV sodium channel alpha polypeptide,Na+ channel; Voltage-gated;,Na+,Voltage,Nav1.4,
Q9H3M0,KCNF1,Potassium voltage-gated channel subfamily F member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv5.1,
Q9H427,KCNK15,Potassium channel subfamily K member 15,K+ channel; Voltage-gated;,K+,Voltage,TASK-5,
Q9H480,ECAC1,Epithelial calcium channel,K+ channel; ? gating; In the kidney,Ca2+,Ligand,,
Q9H4I9,SMDT1,"Essential MCU regulator, mitochondrial",Ca2+ channel; ? gating; Mitochondrial uniporter,,uniporter,,
Q9H5I5,PIEZO2,Piezo-type mechanosensitive ion channel component 2,Cation channel; Mechanically-gated; Role in light-touch mechanosensation ,cation,Mechanical.,,
Q9H637,-,"cDNA: FLJ22628 fis, clone HSI06177",,,,,
Q9H6F2,TMEM38A,Trimeric intracellular cation channel type A,cation channel (monovalent); ? gating,cation,Ligand,,
Q9H7T0,CATSPERB,Cation channel sperm-associated protein subunit beta,cation channel; Voltage-gated; Sperm cell hyperactivation associating with CATSPER1; Sperm motility,cation,Voltage,,
Q9HA72,CALHM2,Calcium homeostasis modulator protein 2,"cation channel (Ca2+, Na+, K+); Voltage-gated; Pore-forming unit;",cation,Voltage,,
Q9HAF4,-,"cDNA FLJ11726 fis, clone HEMBA1005367, weakly similar to Homo sapiens melastatin 1 (MLSN1) mRNA",,,,,
Q9HAT3,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HAT4,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HB14,KCNK13,Potassium channel subfamily K member 13,K+ channel; Voltage-gated;,K+,Voltage,THIK-1,
Q9HB15,KCNK12,Potassium channel subfamily K member 12,K+ channel; Voltage-gated;,K+,Voltage,THIK-2,
Q9HBA0,TRPV4,Transient receptor potential cation channel subfamily V member 4,"Ca2+ channel; ? gating; Involved in osmotic sensitivity and mechanosensitivity; Activitated by hypotonicity, heat, low pH, citrate, phorbol esters; Regulated by calmodulin; Mutations associated with bone disorders (generally short limbs/bones), dwarfism, and neuromuscular disorders",cation,Ligand. Mechanical. Temperature.,TRPV4,
Q9HBG1,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBG2,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBG3,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBH2,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBH3,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBI3,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HBI4,CACNA1B,Calcium channel alpha12.2 subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.2,
Q9HC58,SLC24A3,Sodium/potassium/calcium exchanger 3,antiporter/symporter,,antiporter/symporter,,
Q9HCE9,ANO8,Anoctamin-8,(?) No CACC activity,,,,
Q9HCF6,TRPM3,Transient receptor potential cation channel subfamily M member 3,"cation channel; ? gating; Calcium channel; activity increased by reduction in extracellular osmolarity, sotre depletion and muscarinic receptor activation",cation,Ligand. Temperature.,TRPM3,
Q9HCX4,TRPC7,Short transient receptor potential channel 7,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC7,
Q9NP59,SLC40A1,Solute carrier family 40 member 1,carrier,,carrier,,
Q9NPA1,KCNMB3,Calcium-activated potassium channel subunit beta-3,K+ channel; Voltage-gated; Ca2+ activated; Isoforms tune activation; ,K+,Ligand,BKB3,doable
Q9NPC2,KCNK9,Potassium channel subfamily K member 9,K+ channel; pH-dependant; Mutations associated with intellectual deficiencies,K+,Voltage,TASK-3 (K2P9.1),
Q9NPI9,KCNJ16,Inward rectifier potassium channel 16,"K+ channel; Voltage-gated; Inward rectifying; Greater tendancy to allow K+ into the cell than out of it; Regulated by conc on extracellular K+; Regulation of fluid and pH balance; In kidneys, important for Na+ readsorption at the tubules",K+,Voltage,Kir5.1,
Q9NQ90,ANO2,Anoctamin-2,Cl- channel; Voltage-gated; Ca2+ activated Cl-channel (CACC). Intracellular,Cl-,Voltage,,
Q9NQA5,TRPV5,Transient receptor potential cation channel subfamily V member 5,cation channel; ? gating; Kidney epithelial cells; ,cation,Ligand. Mechanical. Temperature.,TRPV5,
Q9NQW8,CNGB3,Cyclic nucleotide-gated cation channel beta-3,cation channel; Ligand-gated; Nucleotide activated; Visual signal transduction,cation,Ligand,,
Q9NR82,KCNQ5,Potassium voltage-gated channel subfamily KQT member 5,K+ channel; Voltage-gated;,K+,Voltage,Kv7.5,
Q9NS40,KCNH7,Potassium voltage-gated channel subfamily H member 7,K+ channel; Voltage-gated;,K+,Voltage,Kv11.3,
Q9NS61,KCNIP2,Kv channel-interacting protein 2,K+ channel; Voltage-gated; ,K+,Ligand,KChip2a,
Q9NS89,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.1 (P/Q-type),yes
Q9NSA2,KCND1,Potassium voltage-gated channel subfamily D member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv4.1,
Q9NTG1,PKDREJ,Polycystic kidney disease and receptor for egg jelly-related protein,"Ca2+ channel; Ligand-gated; Acid-gated; Fertilization, initiating acrosome reaction of the sperm;",Ca2+,Ligand,,
Q9NTJ5,SACM1L,Phosphatidylinositide phosphatase SAC1,NOT AN ION CHANNEL; ,,,,
Q9NVF8,-,"cDNA FLJ10762 fis, clone NT2RP4000008, moderately similar to CHLORINE CHANNEL PROTEIN P64",Cl- channel; ,,,,
Q9NVV0,TMEM38B,Trimeric intracellular cation channel type B,cation channel (monovalent); ? gating,cation,Ligand,,
Q9NW15,ANO10,Anoctamin-10,Cl- channel; Voltage-gated; Ca2+ activated Cl-channel (CACC). Intracellular,Cl-,Voltage,,
Q9NWR8,CCDC109B,"Calcium uniporter regulatory subunit MCUb, mitochondrial","NOT AN ION CHANNEL; reculates activity of mitochonrdiral inner membrane calcium uniporter, does not form functional ion channels by itself.",,,,
Q9NXR9,-,"cDNA FLJ20087 fis, clone COL03793",,,,,
Q9NXZ3,ECAC2,Epithelial calcium channel ECAC2,K+ channel; ? gating;,Ca2+,Ligand,,
Q9NY05,CACNA1E,Voltage-dependent calcium channel alpha 1E subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.3 (R-type),soon
Q9NY12,GAR1,H/ACA ribonucleoprotein complex subunit 1,NOT AN ION CHANNEL; required for ribosome biogenesis and telomere maintenance,,,,
Q9NY37,ASIC5,Acid-sensing ion channel 5,Na+ channel; Ligand-gated; part of the ASIC complex (trimeric),Na+,Ligand,,
Q9NY46,SCN3A,Sodium channel protein type 3 subunit alpha,Na+ channel; Voltage-gated; Excitable membranes,Na+,Voltage,Nav1.3,yes
Q9NY47,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacna2d2,
Q9NY72,SCN3B,Sodium channel subunit beta-3,"Na+ channel; Voltage-gated; Modulates channel gating, opens more slowly than subunit beta-1; Present in neurofacin and nodes of Ranvier; Mutations associated with cardiac problems",Na+,Voltage,,
Q9NYG8,KCNK4,Potassium channel subfamily K member 4,"K+ channe; Opening triggered by mechanical forces deforming the membrane, raising intracellular pH, increase in temperature; Plays a role in the prection of pain caused by heat or pressure",K+,Voltage. Mechanical. Temperature.,,
Q9NYY6,CACNA1H,Low-voltage-activated calcium channel alpha13.2 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav3.2 (T-type),
Q9NYY7,CACNA1H,Low-voltage-activated calcium channel alpha13.2 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav3.2 (T-type),
Q9NYZ5,CACNA1E,Voltage-dependent R-type calcium channel subunit alpha,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.3 (R-type),soon
Q9NYZ6,CACNA1E,Voltage-dependent R-type calcium channel subunit alpha,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.3 (R-type),soon
Q9NZA1,CLIC5,Chloride intracellular channel protein 5,Cl- channel; Voltage-gated; Required for hearing,Cl-,Voltage,ClIC5,
Q9NZI2,KCNIP1,Kv channel-interacting protein 1,K+ channel; Voltage-gated; Regulatory subunit of Kv4/D channel,K+,Ligand,KChip1,
Q9NZM6,PKD2L2,Polycystic kidney disease 2-like 2 protein,Ca2+ channel; Ligand-gated; Acid-gated; Involved in taste perception;,Ca2+,Ligand,,
Q9NZN1,IL1RAPL1,Interleukin-1 receptor accessory protein-like 1,NOT AN ION CHANNEL; inhibits activity of N-type voltage gated ion channel,,,,
Q9NZQ8,TRPM5,Transient receptor potential cation channel subfamily M member 5,cation channel; ? gating; Voltage-modulated Ca2+ activated monovalent cation channel (VCAM); ,cation,Ligand. Temperature.,TRPM5,
Q9NZV8,KCND2,Potassium voltage-gated channel subfamily D member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv4.2,unreliable parm
Q9P0H2,GRIA3,Glutamate receptor subunit 3,Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,NMDA,doable
Q9P0L9,PKD2L1,Polycystic kidney disease 2-like 1 protein,Ca2+ channel; Ligand-gated; Acid-gated; Pore-forming subunit of Ca2+ channel; Involved in taste perception;,Ca2+,Ligand,,
Q9P0X4,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav3.3 (T-type),yes
Q9P1W3,TMEM63C,Calcium permeable stress-gated cation channel 1,Ca2+ channel; Osmosensitive,Ca2+,Osmotic,,
Q9P1Z3,HCN3,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,Cation channel; Voltage-gated,cation,Voltage,HCN3,
Q9P246,STIM2,Stromal interaction molecule 2,"regulator, NOT AN ION CHANNEL; Ca2+ sensor, activates CRAC",,,,
Q9P2Q6,SCN8A,Sodium channel protein,Na+ channel; Voltage-gated; Excitable membranes,Na+,Voltage,Nav1.6,yes
Q9P2U7,SLC17A7,Vesicular glutamate transporter 1,NOT AN ION CHANNEL;,,,,
Q9UBL9,P2RX2,P2X purinoceptor 2,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q9UBN1,CACNG4,Voltage-dependent calcium channel gamma-4 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng4,
Q9UBN4,TRPC4,Short transient receptor potential channel 4,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC4,
Q9UEP2,-,Serotonin receptor (5-HT receptor),cation channel; Ligand-gated; Part of G protein coupled-receptors at activate an intracellular secondary messenger; Found in CNS and PNS; Target of many pharmaceuticals,cation,Ligand,,
Q9UF02,CACNG5,Voltage-dependent calcium channel gamma-5 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng5,
Q9UGI6,KCNN3,Small conductance calcium-activated potassium channel protein 3,"K+ channel; Ligand-gated; Ca2+ activated; Membrane hyperpolerization, regulate neuronal excitability",K+,Ligand,SK3 (KCa2.3),
Q9UGM1,CHRNA9,Neuronal acetylcholine receptor subunit alpha-9,Ca2+ channel and divalent cations; Ligand-gated; May activate K+ current; Role in auditory stimuli; K+ current may reduce basilar membrane motion to reduce range of dynamic hearing to protect against acoustic trauma.,Ca2+,Ligand,nAChR,doable
Q9UGQ2,CACFD1,Calcium channel flower homolog,?,,,,
Q9UHC3,ASIC3,Acid-sensing ion channel 3,Na+ channel; Ligand-gated; part of the ASIC complex (trimeric),Na+,Ligand,,
Q9UHC6,CNTNAP2,Contactin-associated protein-like 2,NOT AN ION CHANNEL; forms domains critical for saltatory conduction of nerve impulses,,,,
Q9UI33,SCN11A,Sodium channel protein type 11 subunit alpha,Na+ channel; Voltage-gated; Excitable membranes,Na+,Voltage,Nav1.9,
Q9UI40,SLC24A2,Sodium/potassium/calcium exchanger 2,antiporter/symporter,,antiporter/symporter,,
Q9UIX4,KCNG1,Potassium voltage-gated channel subfamily G member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv6.1,
Q9UJ19,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q9UJ90,KCNE5,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,K+ channel; Voltage-gated;,K+,Voltage,,
Q9UJ96,KCNG2,Potassium voltage-gated channel subfamily G member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv6.2,
Q9UK17,KCND3,Potassium voltage-gated channel subfamily D member 3,"K+ channel; Voltage-gated; Pore-forming unit of A-type channels; Contribute to current in heart and neurons; Mutations associated with neurological disorders involving coordination, cardiac disease",K+,Voltage,Kv4.3,
Q9UL51,HCN2,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,Cation channel (weak selectivity for K+ over Na+); Voltage-gated; Hyperpolarization-activated; Contributes to pacemaker currens in the heart and neurons; Produces large instantaneous current; Modulated by Cl- and pH where acidic pH shifts activation to more negative voltages,cation,Voltage,HCN2,yes
Q9UL62,TRPC5,Short transient receptor potential channel 5,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC5,
Q9ULD8,KCNH3,Potassium voltage-gated channel subfamily H member 3,K+ channel; Voltage-gated;,K+,Voltage,Kv12.2,
Q9ULK0,GRID1,"Glutamate receptor ionotropic, delta-1",Cation channel; Ligand-gated; Glutamate-gated; Receptor for glutamate,cation,Ligand,NMDA,doable
Q9ULQ1,TPCN1,Two pore calcium channel protein 1,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q9ULS6,KCNS2,Potassium voltage-gated channel subfamily S member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv9.2,
Q9UM00,TMCO1,Calcium load-activated calcium channel,Ca2+ channel; Ligand-gated; Detects overfilling of Ca2+ stores and restores calcium homeostasis; Homotetramer,Ca2+,Ligand,,
Q9UML7,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q9UMN4,CFTR,Putative uncharacterized protein CFTR,? - unknown protein,Cl-,Ligand,CFTR,
Q9UN68,CACNA1E,Voltage-gated calcium channel alpha 1E subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.3 (R-type),soon
Q9UN69,CACNA1A,Calcium channel alpha 1A subunit,Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav2.1 (P/Q-type),yes
Q9UN88,GABRQ,Gamma-aminobutyric acid receptor subunit theta,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q9UNX9,KCNJ14,ATP-sensitive inward rectifier potassium channel 14,K+ channel; Ligand-gated; Gated by ATP; ,K+,Voltage,Kir2.4,
Q9UPF3,GLRA3,Glycine receptor alpha 3 subunit,Cl- channel; Ligand-gated; Glycine-gated;,Cl-,Ligand,Glycine,
Q9UPX8,SHANK2,SH3 and multiple ankyrin repeat domains protein 2,NOT AN ION CHANNEL; ,,,,
Q9UQ05,KCNH4,Potassium voltage-gated channel subfamily H member 4,K+ channel; Voltage-gated;,K+,Voltage,Kv12.3,
Q9UQC9,CLCA2,Calcium-activated chloride channel regulator 2,Cl- channel; ? gating; Ca2+ regulated;  Related to cell adhesion; May play a role as a tumour suppressor; ,Cl-,Ligand,ClCa2,
Q9UQD0,SCN8A,Sodium channel protein type 8 subunit alpha,Na+ channel; Voltage-gated; Excitable membranes,Na+,Voltage,Nav1.6,yes
Q9Y210,TRPC6,Short transient receptor potential channel 6,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC6,
Q9Y217,MTMR6,Myotubularin-related protein 6,NOT AN ION CHANNEL; regulates K+ channel activity,,,,
Q9Y257,KCNK6,Potassium channel subfamily K member 6,K+ channel; Voltage-gated;,K+,Voltage,TWIK-2,
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3,anion channel; Voltage-gated;,anion,Voltage,,
Q9Y2U2,KCNK7,Potassium channel subfamily K member 7,K+ channel; Voltage-gated;,K+,Voltage,,
Q9Y2W7,KCNIP3,Calsenilin,NOT AN ION CHANNEL,,,,
Q9Y3Q4,HCN4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"Cation channel (weak selectivity for K+ over Na+); Voltage-gated; Slow activation/inactivation; Contribute to pacemaker currens in th heart and neurons; May mediate responses to sour stimuli; Activated by cAMP; Mutations associated with sinus node dysfuntion, cardiac dysfunction",cation,Voltage,HCN4,yes
Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1,NOT AN ION CHANNEL; ,,,,
Q9Y5S1,TRPV2,Transient receptor potential cation channel subfamily V member 2,"Cation channel; gating?; Regulated by IGF-I, PDFT and neuropeptide head activator; May transduce stimuli in mast cells; Activated by high temperatures",cation,Ligand. Mechanical. Temperature.,TRPV2,
Q9Y5S8,NOX1,NADPH oxidase 1,H+ channel; Voltage-gated; NOH-1S; regulates pH,H+,Voltage,,
Q9Y5Y9,SCN10A,Sodium channel protein type 10 subunit alpha,Na+ channel; Voltage-gated; Excitable membranes; Neuropathi pain mechanisms,Na+,Voltage,Nav1.8,
Q9Y691,KCNMB2,Calcium-activated potassium channel subunit beta-2,"K+ channel; Ligand-gated; Ca2+ activated; Regulatory subunit of KCNMA1 channel, negative regular that confers rapid and complete inactivation; May be in chromaffin celss of the adrenal gland or hippocampal CA1 neurons",K+,Ligand,BKB2,doable
Q9Y696,CLIC4,Chloride intracellular channel protein 4,"Poorly-selective channel (also transports Cl-); Voltage-gated; Activity depends on pH; Promotes expression of HRH3, potential role in angiogenesis, apical-basolateral membrane polarity during mitosis/cytokinesis; promote endothelial cell proliferation, regulate endothelial morphogenesis",Cl-,Voltage,ClIC4,
Q9Y698,CACNG2,Voltage-dependent calcium channel gamma-2 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng2,
Q9Y6H6,KCNE3,Potassium voltage-gated channel subfamily E member 3,"K+ channel; Voltage-gated; Modulates gating in KCNB1, associated with KCNC4/Kv3.4; Establishes resting potenial in skeletal muscle, ",K+,Voltage,,
Q9Y6J6,KCNE2,Potassium voltage-gated channel subfamily E member 2,"K+ channel; Voltage-gated; Modulates gating of KCNB1, CKNH2/HERG, KCNQ2 and/or KCNQ3, HCN1/CHN2, KCNQ1; Mutations associated with heart disorders",K+,Voltage,,
Q9Y6N3,CLCA3P,Calcium-activated chloride channel regulator family member 3,Cl- channel; ? gating; Ca2+ regulated,Cl-,Ligand,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
